Ticker,Sector,MarketCapitalization
BWAQ.US,Financial Services,73152928.0
BWAQR.US,,
BWAQW.US,Financial Services,
BWAY.US,Healthcare,99394176.0
BWB.US,Financial Services,340480256.0
BWEN.US,Industrials,54614112.0
BWFG.US,Financial Services,204475168.0
BWMN.US,Industrials,531304736.0
BWMX.US,Consumer Cyclical,499481440.0
BWV.US,Healthcare,3406446.0
BXRX.US,Healthcare,1220606.0
BYFC.US,Financial Services,56414508.0
BYND.US,Consumer Defensive,460176640.0
BYNO.US,Financial Services,113039296.0
BYNOW.US,Financial Services,
BYON.US,Consumer Cyclical,
BYRN.US,Industrials,216499680.0
BYSI.US,Healthcare,61160700.0
BYU.US,Basic Materials,
BZ.US,Industrials,6399199744.0
BZFD.US,Communication Services,28263020.0
BZFDW.US,Communication Services,
BZUN.US,Consumer Cyclical,141645040.0
CAAS.US,Consumer Cyclical,99009096.0
CABA.US,Healthcare,1087952512.0
CAC.US,Financial Services,471210080.0
CACC.US,Financial Services,6961564160.0
CACO.US,Industrials,28070810.0
CADL.US,Healthcare,41355312.0
CAKE.US,Consumer Cyclical,1809555328.0
CALB.US,Financial Services,196113888.0
CALC.US,Healthcare,59491180.0
CALM.US,Consumer Defensive,2721473280.0
CALT.US,Healthcare,567313024.0
CAMP.US,Technology,4556318.0
CAMT.US,Technology,3658584832.0
CAN.US,Technology,374468832.0
CANB.US,Healthcare,946202.0
CAPR.US,Healthcare,122555432.0
CAPT.US,,
CAPTW.US,,
CAR.US,Industrials,6117053440.0
CARA.US,Healthcare,30825180.0
CARE.US,Financial Services,322536032.0
CARG.US,Consumer Cyclical,2685474560.0
CARM.US,Healthcare,85152840.0
CART.US,Consumer Cyclical,6470187520.0
CARV.US,Financial Services,8262827.0
CASA.US,Technology,29365996.0
CASH.US,Financial Services,1313540864.0
CASI.US,Healthcare,81660800.0
CASS.US,Industrials,595390720.0
CASY.US,Consumer Cyclical,10629415936.0
CATC.US,Financial Services,528783328.0
CATY.US,Financial Services,2889315072.0
CAUD.US,Technology,
CBAN.US,Financial Services,202339600.0
CBAT.US,Industrials,86185120.0
CBAY.US,Healthcare,2945075712.0
CBFV.US,Financial Services,115343240.0
CBNK.US,Financial Services,290980256.0
CBRG.US,Financial Services,108516384.0
CBRL.US,Consumer Cyclical,1789940608.0
CBSH.US,Financial Services,6659804160.0
CBUS.US,Healthcare,392798368.0
CCAP.US,Financial Services,597431424.0
CCB.US,Financial Services,519133792.0
CCBG.US,Financial Services,487109024.0
CCCC.US,Healthcare,303078144.0
CCCS.US,Technology,6778901504.0
